id,name,date,body
87120,Rick,"Mon Sep 24, 2012 4:53 pm","Tonight, 8pm, might be worth a look...?RJ"
87131,pigtin,"Mon Sep 24, 2012 8:29 pm","Oh dear! Just switched off... a couple of geezers on an ego trip, couldn't take any more when they picked up the shock absorber in the breakers yard. Would you want to sell a classic at a knockdown price to this guy?"
87133,riley541,"Mon Sep 24, 2012 8:47 pm","What a terrible programme. Why on earth did the production company choose that foul mouthed cockney bodger to front it? I'll watch this one until the bitter end out of curiousity but that's it for me, no more of this rubbish."
87135,47p2,"Mon Sep 24, 2012 9:00 pm","I've recorded it to watch later, I might give it a miss now"
87136,Rick,"Mon Sep 24, 2012 9:04 pm","Deary me, ""restore"" something and leave that awful glass pop-up sunroof in it, not to mention the junk they bought from the other fella. Good to hear that they repaired a piston, and cleaned out the cylinders though ... £30k?RJI'll probably watch the next one though, out of curiosity"
87139,welshrover,"Mon Sep 24, 2012 9:09 pm","what a load of rubbish .arthur daley would have done a better job . poxy modern sunroof ,nice pinky red paint then bangs it into an engine .would you buy a car from these two plonkers ."
87140,welshrover,"Mon Sep 24, 2012 9:10 pm",i wouldn't bother.
87142,swampy,"Mon Sep 24, 2012 10:02 pm",One and half days to sort out the 'too much oil in the carb' issue just after he had boasted that he'd been doing this for thirty something years   I can truly say that I was awestruck
87146,welshrover,"Mon Sep 24, 2012 10:31 pm",those diagprahms in the carbs looked new too.
87148,Penman,"Tue Sep 25, 2012 12:34 am","HiThe e type was the first car designed using a wind tunnel??I think not, Bristol Cars used Bristol Aeroplane's wind tunnel in the design stages of the 401 introduced in 1948."
87149,victor 101,"Tue Sep 25, 2012 1:34 am","I turned off before it was half way through, about where he pulled some supposedly E type parts of the back of a pick up truck."
87151,peterwpg,"Tue Sep 25, 2012 4:28 am","and as far back as 1934 Chrysler used the wind tunnel for their ""Airflow"" series.   I haven't seen the programme that is the subject of this thread, but poorly researched and gross presentations are quite common this side of the ""pond"""
87154,pigtin,"Tue Sep 25, 2012 6:41 am","It was dumbed down to a point where I thought I'd switched on Eastenders by mistake. I believe there are a load of 'Toff' producers with a very strange idea about what many of us 'Plebs' like to watch. Surely they could have asked someone who knew about restorations to look it over.Having switched off before halfway through I can only assume, from comments on here, the programme didn't redeem itself in the second half..."
87156,riley541,"Tue Sep 25, 2012 7:21 am",Make your opinion known - I have-customerservices@channel5.com
87157,Rick,"Tue Sep 25, 2012 7:41 am",Times like this I wish I had shares in Isopon RJ
87158,pigtin,"Tue Sep 25, 2012 7:45 am","The guy had a very fancy magnet, perhaps we should all get one... it's probably what the trade use."
87162,baconsdozen,"Tue Sep 25, 2012 9:38 am","I switched off part way,it was total twaddle.I'm not sure I heard it right but I'm sure they said Jaguar invented IRS as drivers were finding it difficult to handle the car as it was so long?.The restoration was a bodge and looked like it was done in twenty one days.I agree,it was like an episode of Eastenders,a poor one even by their standards."
87164,Rick,"Tue Sep 25, 2012 9:48 am","Programmes like this emphasise how important it is to keep a close eye on any restorer entrusted with one's pride-and-joy. I imagine pukka restoration companies cringed when they saw this.Although the valuation seemed a little optimistic, I'm glad the fella from RM at least pointed out the hideous sunroof, change of colour, and it being auto and LHD as being some of the car's less attractive points.RJ"
87167,MikeEdwards,"Tue Sep 25, 2012 10:24 am","I completely forgot to set the box to record this, but from here and another thread it sounds as if I had a lucky escape."
87169,riley541,"Tue Sep 25, 2012 11:23 am","Yet he still valued it at £30,000!"
87170,Rick,"Tue Sep 25, 2012 11:31 am","Yet he still valued it at £30,000!"
87171,smiffy220,"Tue Sep 25, 2012 12:54 pm","I'm hearing the whole thing was a set up anyway, nothing was real about this programme apparently. Even the breakers yard was fake and a mate of his with staged parts in.I haven't watched it, don't think I'll bother either."
87176,gillberry,"Tue Sep 25, 2012 5:11 pm",Same here thought we would give it a look but WHY does everything have to be so staged do they think we are that thick that we will not notice!
87199,smiffy220,"Wed Sep 26, 2012 12:55 pm","I tried to watch 10 mins of it last night. What a load of rubbish. Staged parts, an ego trip for the so called presenter, and some terrible over acting when they started the thing up and it smoked.I've taken that of my future planner on sky!!"
87211,baconsdozen,"Wed Sep 26, 2012 7:25 pm","I wonder why when there are so many people the shows organisers could have consulted,that they ended up with a couple who make Arthur Dailey look like mechanic of the year.Did they really believe anyone with the faintest interest in classic cars would find the program at all informative?.Maybe it was supposed to be a comedy."
87225,riley541,"Thu Sep 27, 2012 7:52 am","Probably produced by Bernie's Broadcasting Company, I can't think anyone else would cast him. BTW - it's repeated this evening."
87233,Doz,"Thu Sep 27, 2012 11:13 am",Excellent - I can miss it twice!
87236,peterwpg,"Thu Sep 27, 2012 3:01 pm",I guess that anyone who was associated with the Kray's  can't be all bad.  can they ?
87238,riley541,"Thu Sep 27, 2012 3:50 pm",Excellent - I can miss it twice!
87247,norustplease,"Thu Sep 27, 2012 8:13 pm","Well, I couldn't resist it. After everyone's comments I had to go on line and watch it. It was so awful that I may watch the next one for a laugh.  My opinion of Adrian Flux as  sponsor has slipped, however. Would you as part of a serious car restoration industry want to be associated with this sort of thing?I wondered why they wasted the first part of the programme with the odious Bernie insulting people on the phone and making rude comments about their cars and asking prices.The car 'as found' looked as if it had been decorated to appear rougher than it was, and the whole thing was vaguely reminiscent of the extremely stagey  'Pimp my Ride' series. No attempt to talk about what sort of state the underbody might be in and no attempt to derust the inside of the shell. The episode with the carbs, totally spurious. And as for the guy walloping the nosecone with a hammer.....pass the filler!And then the valuer doesn't even bend down and look underneath...sorry, I prefered scrapheap challenge."
87253,D4B,"Fri Sep 28, 2012 8:20 am",Watched it last night ~ twas awful.... Bernie should have stuck to Banglar Bangers
